Count_Cytoplasm,FileName_Cell,FileName_Green,FileName_Nuclei,FileName_Red,Group_Index,Group_Number,ImageNumber,Math_CellConfluency,Mean_Cytoplasm_Math_RedGreenRatio,Median_Cytoplasm_Math_RedGreenRatio,Metadata_ExperimentName,Metadata_Well,StDev_Cytoplasm_Math_RedGreenRatio
2021,,,,,244,1,244,0.693444014,1.111349759,1.173786177,,K04,0.771421484
2318,,,,,245,1,245,0.834365129,1.083875129,1.114613925,,K05,0.777314939
2289,,,,,246,1,246,0.791849852,1.006222149,0.998633185,,K06,0.749919042
2046,,,,,247,1,247,0.747866392,0.793696437,0.74008404,,K07,0.579692021
2295,,,,,248,1,248,0.82345891,0.977457116,0.898650767,,K08,0.747054676
2202,,,,,249,1,249,0.791079283,0.827430988,0.739495828,,K09,0.605630424
2247,,,,,250,1,250,0.81101203,0.862825355,0.744709711,,K10,0.667950364
2372,,,,,251,1,251,0.829768896,0.973833284,0.895043913,,K11,0.721311044
2256,,,,,252,1,252,0.804994583,0.943877593,0.845449851,,K12,0.716673243
2274,,,,,253,1,253,0.777584791,0.841882526,0.692393546,,K13,0.698147193
2336,,,,,254,1,254,0.804427385,0.810458276,0.60916857,,K14,0.6925021
2491,,,,,255,1,255,0.844691992,0.879793609,0.735542348,,K15,0.702960837
2431,,,,,256,1,256,0.843052626,0.898245486,0.812097881,,K16,0.694127073
2188,,,,,257,1,257,0.756290674,0.779220654,0.626861729,,K17,0.643395142
2335,,,,,258,1,258,0.779005527,0.811288202,0.666416533,,K18,0.674456165
2296,,,,,259,1,259,0.774667025,0.89170734,0.772396144,,K19,0.706483177
2108,,,,,260,1,260,0.705893517,0.849405319,0.730814438,,K20,0.694971514
2298,,,,,261,1,261,0.764520407,0.814707803,0.658636681,,K21,0.677871382
2227,,,,,262,1,262,0.792836666,0.846606316,0.688352074,,K22,0.685102701
2469,,,,,263,1,263,0.841943502,0.791762398,0.637038391,,K23,0.646913143
2340,,,,,264,1,264,0.698415756,0.679655676,0.45724987,,K24,0.592146409
1788,,,,,265,1,265,0.646892071,1.217030204,1.310632286,,L01,0.738357898
1678,,,,,266,1,266,0.573754549,1.268107267,1.382115639,,L02,0.78583235
2196,,,,,267,1,267,0.791015148,1.213398374,1.323987129,,L03,0.819678331
2150,,,,,268,1,268,0.75077343,1.215624821,1.334083084,,L04,0.797829846
2151,,,,,269,1,269,0.742740154,1.088243887,1.137052349,,L05,0.7824023
